name,description,formula,csf_function,priority_rank,direction,target_value,target_units,owner_function,data_source,collection_frequency,current_value,notes,csf_category_code,csf_subcategory_code,csf_category_name,csf_subcategory_outcome
Software Composition Analysis Coverage,Percentage of applications with SCA scanning,SCA-scanned applications / Total applications * 100,pr,3,higher_is_better,70.0,%,App Security,SCA platform,weekly,58.9,Open source vulnerability scanning,,,,
Incident Response Automation Coverage,Percentage of incident types with automated response,Automated incident types / Total incident types * 100,pr,3,higher_is_better,60.0,%,IR Automation,SOAR platform,monthly,43.7,Security orchestration coverage,,,,
Cloud Access Security Broker Implementation,Percentage of cloud services under CASB protection,CASB-protected services / Total cloud services * 100,pr,2,higher_is_better,85.0,%,Cloud Security,CASB platform,weekly,71.2,Cloud service protection,PR.AA,PR.AA-03,"Identity Management, Authentication and Access Control","Users, assets, and other subjects are authenticated prior to being granted access to systems and assets"
Vendor Access Control,Percentage of vendor access sessions monitored,Monitored vendor sessions / Total vendor sessions * 100,pr,2,higher_is_better,100.0,%,Vendor Management,Vendor access platform,daily,93.6,Third-party access oversight,PR.AA,PR.AA-03,"Identity Management, Authentication and Access Control","Users, assets, and other subjects are authenticated prior to being granted access to systems and assets"
Security Token Management,Percentage of security tokens with lifecycle management,Managed tokens / Total security tokens * 100,pr,3,higher_is_better,85.0,%,Token Management,Token lifecycle platform,weekly,76.8,Authentication token security,PR.PT,PR.PT-02,Protective Technology,"System security configurations are established, documented, implemented, maintained, and reviewed"
Distributed Denial of Service Protection,Percentage of critical services with DDoS protection,DDoS-protected services / Critical services * 100,pr,2,higher_is_better,100.0,%,Network Security,DDoS protection platform,daily,94.7,Service availability protection,,,,
Security Baseline Compliance,Percentage of systems meeting security baseline requirements,Baseline-compliant systems / Total systems * 100,pr,2,higher_is_better,90.0,%,Security Architecture,Baseline management system,weekly,85.9,Security configuration standards,PR.PT,PR.PT-02,Protective Technology,"System security configurations are established, documented, implemented, maintained, and reviewed"
Data Rights Management Implementation,Percentage of sensitive documents under rights management,Rights-managed documents / Sensitive documents * 100,pr,3,higher_is_better,60.0,%,Data Protection,Rights management system,monthly,47.3,Document access control,PR.DS,PR.DS-01,Data Security,"The confidentiality, integrity, and availability of data-at-rest are protected"
Physical Security Integration,Percentage of digital systems integrated with physical security,Integrated systems / Total critical systems * 100,pr,3,higher_is_better,70.0,%,Physical Security,Integrated security platform,quarterly,58.1,Digital-physical security convergence,PR.PT,PR.PT-02,Protective Technology,"System security configurations are established, documented, implemented, maintained, and reviewed"
Security Orchestration Platform Coverage,Percentage of security tools integrated in orchestration platform,Integrated tools / Total security tools * 100,pr,3,higher_is_better,75.0,%,Security Operations,SOAR platform,monthly,61.9,Security tool integration,PR.PT,PR.PT-02,Protective Technology,"System security configurations are established, documented, implemented, maintained, and reviewed"
Threat Modeling Coverage,Percentage of critical applications with threat models,Threat-modeled apps / Critical applications * 100,pr,2,higher_is_better,60.0,%,Security Architecture,Threat modeling platform,quarterly,44.2,Application threat analysis,,,,
Mean Time to Detect (MTTD),Average time from security event to detection,Sum of detection times / Number of incidents,de,1,lower_is_better,24.0,hours,SecOps,SIEM system,monthly,18.7,Key detection performance indicator,DE.AE,DE.AE-01,Anomalies and Events,"Networks, systems, and assets are monitored to identify potentially malicious activity"
Security Event Monitoring Coverage,Percentage of critical systems with active monitoring,Monitored systems / Critical systems * 100,de,1,higher_is_better,100.0,%,SecOps,SIEM system,weekly,97.5,24/7 monitoring capability,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
False Positive Rate,Percentage of security alerts that are false positives,False positive alerts / Total alerts * 100,de,2,lower_is_better,20.0,%,SecOps,SIEM system,monthly,28.3,Alert tuning effectiveness,DE.AE,DE.AE-01,Anomalies and Events,"Networks, systems, and assets are monitored to identify potentially malicious activity"
Log Retention Compliance,Percentage of systems meeting log retention requirements,Compliant log retention / Total systems * 100,de,2,higher_is_better,95.0,%,IT Ops,Log management system,monthly,91.2,Regulatory compliance,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
Threat Intelligence Integration,Number of threat intelligence feeds actively integrated,Count of active threat intel feeds,de,2,higher_is_better,5.0,count,SecOps,Threat intelligence platform,monthly,3.0,IOC and TTP integration,,,,
Network Traffic Analysis Coverage,Percentage of network traffic analyzed for threats,Analyzed traffic / Total traffic * 100,de,3,higher_is_better,80.0,%,Network Security,Network monitoring tools,weekly,72.1,Deep packet inspection,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
Anomaly Detection Effectiveness,Percentage of actual threats identified by anomaly detection,Detected threats / Total threats * 100,de,3,higher_is_better,70.0,%,SecOps,UEBA system,monthly,63.2,Behavioral analysis accuracy,DE.AE,DE.AE-01,Anomalies and Events,"Networks, systems, and assets are monitored to identify potentially malicious activity"
Security Alert Response Time,Average time to initial response for security alerts,Sum of response times / Number of alerts,de,2,lower_is_better,15.0,minutes,SecOps,SIEM system,daily,22.4,Alert response speed,DE.AE,DE.AE-01,Anomalies and Events,"Networks, systems, and assets are monitored to identify potentially malicious activity"
User Behavior Analytics Coverage,Percentage of users covered by behavioral monitoring,Monitored users / Total users * 100,de,2,higher_is_better,80.0,%,SecOps,UEBA platform,weekly,73.6,User activity monitoring,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
Threat Hunting Success Rate,Percentage of threat hunts resulting in actionable findings,Successful hunts / Total hunts * 100,de,2,higher_is_better,40.0,%,Threat Hunting,Threat hunting platform,monthly,31.8,Proactive threat discovery,,,,
Security Event Correlation Effectiveness,Percentage of related security events properly correlated,Correlated events / Related events * 100,de,2,higher_is_better,75.0,%,SecOps,SIEM system,weekly,68.9,Event relationship detection,DE.AE,DE.AE-01,Anomalies and Events,"Networks, systems, and assets are monitored to identify potentially malicious activity"
Malware Detection Rate,Percentage of malware samples detected by security controls,Detected malware / Total malware samples * 100,de,1,higher_is_better,95.0,%,SecOps,Malware detection platform,daily,92.4,Malware protection effectiveness,DE.AE,DE.AE-01,Anomalies and Events,"Networks, systems, and assets are monitored to identify potentially malicious activity"
Insider Threat Detection Coverage,Percentage of insider threat indicators monitored,Monitored indicators / Total indicators * 100,de,2,higher_is_better,70.0,%,Insider Threat,Insider threat platform,weekly,58.7,Internal threat monitoring,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
Cloud Security Monitoring Coverage,Percentage of cloud resources with active monitoring,Monitored cloud resources / Total cloud resources * 100,de,2,higher_is_better,90.0,%,Cloud Security,Cloud monitoring platform,daily,83.2,Multi-cloud visibility,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
Mobile Device Threat Detection,Percentage of mobile devices with threat detection capabilities,Protected mobile devices / Total mobile devices * 100,de,3,higher_is_better,85.0,%,Mobile Security,Mobile threat defense,daily,76.4,Mobile threat protection,DE.AE,DE.AE-01,Anomalies and Events,"Networks, systems, and assets are monitored to identify potentially malicious activity"
Data Exfiltration Detection Coverage,Percentage of data egress points monitored for exfiltration,Monitored egress points / Total egress points * 100,de,2,higher_is_better,90.0,%,Data Security,Data exfiltration detection,daily,81.7,Data loss monitoring,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
Application Performance and Security Monitoring,Percentage of applications with integrated performance and security monitoring,Monitored applications / Total applications * 100,de,3,higher_is_better,75.0,%,App Security,APM security platform,daily,62.1,Application visibility,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
DNS Security Monitoring,Percentage of DNS queries analyzed for malicious activity,Analyzed DNS queries / Total DNS queries * 100,de,3,higher_is_better,85.0,%,Network Security,DNS security platform,daily,77.9,DNS-based threat detection,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
Email Security Threat Detection Rate,Percentage of email threats detected by security systems,Detected email threats / Total email threats * 100,de,2,higher_is_better,98.0,%,Email Security,Email security platform,daily,95.6,Email-borne threat detection,DE.AE,DE.AE-01,Anomalies and Events,"Networks, systems, and assets are monitored to identify potentially malicious activity"
Web Security Gateway Effectiveness,Percentage of web-based threats blocked,Blocked web threats / Total web threats * 100,de,2,higher_is_better,95.0,%,Web Security,Web security gateway,daily,91.8,Web threat protection,,,,
Security Information Sharing Effectiveness,Percentage of relevant threat intelligence shared with industry peers,Shared intelligence / Relevant intelligence * 100,de,3,higher_is_better,30.0,%,Threat Intelligence,Information sharing platform,monthly,22.7,Collective defense participation,,,,
Container Runtime Security Monitoring,Percentage of containers with runtime security monitoring,Monitored containers / Total containers * 100,de,3,higher_is_better,80.0,%,Container Security,Container security platform,daily,68.4,Runtime container protection,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
API Security Monitoring,Percentage of APIs with active security monitoring,Monitored APIs / Total APIs * 100,de,2,higher_is_better,85.0,%,API Security,API security platform,daily,71.3,API threat detection,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
Lateral Movement Detection Coverage,Percentage of network segments with lateral movement detection,Segments with detection / Total segments * 100,de,2,higher_is_better,75.0,%,Network Security,Network detection platform,daily,64.7,Internal threat movement,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
Security Metrics Dashboard Utilization,Percentage of security metrics actively monitored by stakeholders,Monitored metrics / Total available metrics * 100,de,3,higher_is_better,70.0,%,SecOps,Dashboard analytics,weekly,58.9,Security metrics consumption,,,,
Threat Detection Rule Effectiveness,Percentage of detection rules generating actionable alerts,Effective rules / Total detection rules * 100,de,2,higher_is_better,60.0,%,SecOps,SIEM system,monthly,47.3,Detection rule quality,DE.AE,DE.AE-01,Anomalies and Events,"Networks, systems, and assets are monitored to identify potentially malicious activity"
Security Event Storage Capacity,Percentage of security event storage capacity utilized,Used storage / Total storage capacity * 100,de,3,lower_is_better,80.0,%,SecOps,Log management system,weekly,67.2,Security data retention capacity,DE.AE,DE.AE-01,Anomalies and Events,"Networks, systems, and assets are monitored to identify potentially malicious activity"
Vulnerability Scanner Coverage Overlap,Percentage of assets scanned by multiple vulnerability scanners,Multi-scanned assets / Total assets * 100,de,3,higher_is_better,30.0,%,SecOps,Vulnerability management,weekly,23.1,Scanning redundancy for accuracy,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
Security Operations Center Staffing,Percentage of SOC shifts with adequate staffing,Adequately staffed shifts / Total shifts * 100,de,2,higher_is_better,95.0,%,SecOps,SOC management system,weekly,88.9,SOC operational readiness,,,,
Machine Learning Detection Model Accuracy,Percentage accuracy of ML-based threat detection models,Correct ML predictions / Total ML predictions * 100,de,3,higher_is_better,85.0,%,SecOps,ML security platform,monthly,78.4,AI-driven detection effectiveness,DE.AE,DE.AE-01,Anomalies and Events,"Networks, systems, and assets are monitored to identify potentially malicious activity"
Third-Party Security Monitoring Coverage,Percentage of third-party connections monitored for security,Monitored connections / Total third-party connections * 100,de,3,higher_is_better,75.0,%,Vendor Security,Third-party monitoring,daily,61.8,External connection security,DE.CM,DE.CM-01,Continuous Security Monitoring,Networks and network services are monitored
Security Event Enrichment Rate,Percentage of security events enriched with contextual information,Enriched events / Total security events * 100,de,3,higher_is_better,60.0,%,SecOps,SIEM system,daily,47.6,Security event context enhancement,DE.AE,DE.AE-01,Anomalies and Events,"Networks, systems, and assets are monitored to identify potentially malicious activity"
Mean Time to Respond (MTTR),Average time from incident detection to initial response,Sum of response times / Number of incidents,rs,1,lower_is_better,24.0,hours,IR Team,Incident management system,monthly,31.2,Containment speed,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Incident Response Plan Activation,Percentage of incidents with formal IR plan activation,IR plan activations / Total incidents * 100,rs,1,higher_is_better,90.0,%,IR Team,Incident management system,monthly,84.7,Process adherence,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Communication Plan Execution,Percentage of incidents with timely stakeholder communication,Timely communications / Total incidents * 100,rs,2,higher_is_better,85.0,%,IR Team,Communication tracking,monthly,78.9,Internal and external comms,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Containment Effectiveness,Percentage of incidents successfully contained within SLA,Contained incidents / Total incidents * 100,rs,2,higher_is_better,95.0,%,IR Team,Incident management system,monthly,89.3,2-hour containment SLA,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Evidence Collection Success,Percentage of incidents with proper evidence collection,Incidents with evidence / Total incidents * 100,rs,2,higher_is_better,90.0,%,IR Team,Digital forensics tools,monthly,82.1,Legal and forensic requirements,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Post-Incident Review Completion,Percentage of incidents with completed post-incident reviews,Completed reviews / Total incidents * 100,rs,3,higher_is_better,80.0,%,IR Team,Incident management system,monthly,71.4,Lessons learned documentation,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Threat Hunt Execution,Number of proactive threat hunts conducted per month,Count of threat hunting activities,rs,3,higher_is_better,4.0,per month,SecOps,Threat hunting platform,monthly,3.0,Proactive threat detection,,,,
Incident Classification Accuracy,Percentage of incidents correctly classified upon initial assessment,Correctly classified incidents / Total incidents * 100,rs,2,higher_is_better,85.0,%,IR Team,Incident management system,monthly,78.6,Initial assessment quality,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Crisis Management Team Activation Time,Average time to activate crisis management team for major incidents,Sum of activation times / Number of major incidents,rs,2,lower_is_better,60.0,minutes,Crisis Management,Crisis management system,monthly,73.4,Executive response speed,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
External Communication Timeliness,Percentage of external communications sent within required timeframes,Timely external comms / Total external comms * 100,rs,2,higher_is_better,90.0,%,Communications,Communication tracking,monthly,84.2,Customer and regulator notification,RS.CO,RS.CO-02,Communications,Communication with internal and external stakeholders occurs during incidents
Digital Forensics Response Time,Average time to begin forensic analysis after request,Sum of forensic start times / Number of requests,rs,2,lower_is_better,4.0,hours,Digital Forensics,Forensics management system,monthly,5.8,Forensic investigation speed,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Incident Response Team Training Currency,Percentage of IR team members with current training,Current trained members / Total IR team members * 100,rs,2,higher_is_better,100.0,%,IR Team,Training management system,quarterly,94.4,Response team readiness,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Automated Response Action Success Rate,Percentage of automated response actions that execute successfully,Successful automated actions / Total automated actions * 100,rs,3,higher_is_better,85.0,%,IR Automation,SOAR platform,weekly,79.2,Security orchestration effectiveness,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Incident Escalation Timeliness,Percentage of incidents escalated within defined timeframes,Timely escalations / Total escalations * 100,rs,2,higher_is_better,90.0,%,IR Team,Incident management system,monthly,85.7,Escalation process effectiveness,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Third-Party Incident Response Coordination,Percentage of vendor incidents with coordinated response,Coordinated responses / Total vendor incidents * 100,rs,3,higher_is_better,75.0,%,Vendor Management,Incident coordination platform,monthly,68.3,Supply chain incident management,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Regulatory Incident Reporting Compliance,Percentage of incidents reported to regulators within required timeframes,Timely regulatory reports / Total reportable incidents * 100,rs,1,higher_is_better,100.0,%,Legal,Regulatory reporting system,monthly,96.2,Compliance reporting accuracy,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Malware Containment Success Rate,Percentage of malware incidents successfully contained,Contained malware incidents / Total malware incidents * 100,rs,2,higher_is_better,95.0,%,IR Team,Malware response system,monthly,91.7,Malware response effectiveness,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Data Breach Response Effectiveness,Average time to secure data after breach detection,Sum of data securing times / Number of breach incidents,rs,1,lower_is_better,2.0,hours,IR Team,Breach response system,monthly,3.2,Data protection response speed,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Incident Response Playbook Usage,Percentage of incidents where response playbooks were utilized,Playbook-guided responses / Total incidents * 100,rs,2,higher_is_better,90.0,%,IR Team,Incident management system,monthly,83.9,Standardized response procedures,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Cross-Functional Response Coordination,Percentage of major incidents with adequate cross-functional coordination,Well-coordinated responses / Total major incidents * 100,rs,2,higher_is_better,85.0,%,IR Team,Incident coordination system,monthly,76.4,Multi-team response effectiveness,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Incident Impact Assessment Accuracy,Percentage of incident impact assessments that prove accurate,Accurate assessments / Total impact assessments * 100,rs,3,higher_is_better,80.0,%,IR Team,Impact assessment system,monthly,72.1,Business impact prediction accuracy,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Legal Hold Implementation Speed,Average time to implement legal hold after incident declaration,Sum of legal hold times / Number of incidents requiring holds,rs,3,lower_is_better,4.0,hours,Legal,Legal hold system,monthly,5.7,Evidence preservation speed,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Incident Response Communication Quality,Quality score of incident communications based on stakeholder feedback,Average communication quality rating,rs,3,higher_is_better,4.0,quality score,Communications,Communication feedback system,monthly,3.6,5-point scale communication assessment,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Threat Actor Attribution Success Rate,Percentage of incidents with successful threat actor attribution,Attributed incidents / Total incidents requiring attribution * 100,rs,3,higher_is_better,40.0,%,Threat Intelligence,Attribution analysis system,monthly,28.7,Threat actor identification,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Incident Recovery Time Tracking,Average time from containment to full service restoration,Sum of recovery times / Number of incidents,rs,2,lower_is_better,8.0,hours,IR Team,Service restoration tracking,monthly,11.4,Business service recovery speed,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Security Incident Cost Tracking,Percentage of incidents with documented response costs,Cost-tracked incidents / Total incidents * 100,rs,3,higher_is_better,70.0,%,IR Team,Incident cost tracking system,monthly,58.2,Financial impact measurement,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Incident Response Stakeholder Satisfaction,Satisfaction score from key stakeholders on incident response,Average stakeholder satisfaction rating,rs,3,higher_is_better,4.0,satisfaction score,IR Team,Stakeholder feedback system,quarterly,3.4,5-point scale satisfaction assessment,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
False Positive Incident Rate,Percentage of incident alerts that prove to be false positives,False positive incidents / Total incident alerts * 100,rs,3,lower_is_better,15.0,%,IR Team,Incident management system,monthly,22.1,Incident alert accuracy,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Incident Response Tool Integration,Percentage of response tools integrated with central incident platform,Integrated tools / Total response tools * 100,rs,3,higher_is_better,75.0,%,IR Team,Incident platform integration,quarterly,61.8,Response tool coordination,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Vendor Incident Notification Compliance,Percentage of vendors meeting incident notification SLAs,Compliant vendor notifications / Total vendor incidents * 100,rs,2,higher_is_better,90.0,%,Vendor Management,Vendor incident tracking,monthly,83.6,Supply chain incident transparency,RS.MI,RS.MI-02,Mitigation,The impact of incidents is reduced through coordinated response activities
Backup Restore Success Rate,Percentage of backup restore tests that succeed,Successful restores / Total restore tests * 100,rc,1,higher_is_better,98.0,%,Backup Admin,Backup system,monthly,95.7,Business continuity validation,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Recovery Time Objective (RTO) Achievement,Percentage of systems meeting RTO during tests,Systems meeting RTO / Total systems tested * 100,rc,1,higher_is_better,90.0,%,BCP,DR testing results,quarterly,87.2,Service restoration speed,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Recovery Point Objective (RPO) Achievement,Percentage of systems meeting RPO during tests,Systems meeting RPO / Total systems tested * 100,rc,1,higher_is_better,95.0,%,BCP,DR testing results,quarterly,91.8,Data loss minimization,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Business Continuity Plan Testing,Frequency of business continuity plan testing,Count of BCP tests per year,rc,2,higher_is_better,2.0,per year,BCP,BC management system,quarterly,1.0,Semi-annual full tests,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Communication System Redundancy,Percentage of communication systems with backup capability,Redundant comm systems / Total comm systems * 100,rc,2,higher_is_better,90.0,%,IT Ops,Communication system monitoring,monthly,83.1,Emergency communications,,,,
Vendor Recovery Coordination,Percentage of critical vendors with recovery agreements,Vendors with agreements / Critical vendors * 100,rc,3,higher_is_better,80.0,%,Vendor Mgmt,Vendor management system,quarterly,72.5,Third-party recovery planning,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Staff Recovery Training,Percentage of critical staff trained on recovery procedures,Trained staff / Critical staff * 100,rc,3,higher_is_better,85.0,%,HR/Training,Training management system,quarterly,79.3,Recovery team readiness,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Data Recovery Completeness Testing,Percentage of critical data successfully recovered during tests,Successfully recovered data / Critical data tested * 100,rc,1,higher_is_better,99.0,%,Data Recovery,Data recovery platform,quarterly,96.4,Data restoration verification,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Cloud Service Recovery Testing,Percentage of cloud services with tested recovery procedures,Cloud services tested / Total critical cloud services * 100,rc,2,higher_is_better,85.0,%,Cloud Recovery,Cloud management platform,quarterly,78.1,Cloud-based service recovery,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Alternate Site Readiness,Percentage of alternate sites meeting operational readiness requirements,Ready alternate sites / Total alternate sites * 100,rc,2,higher_is_better,95.0,%,Facilities,Site readiness monitoring,monthly,88.7,Backup facility preparedness,,,,
Supply Chain Recovery Coordination,Percentage of critical suppliers with tested recovery coordination,Tested supplier coordination / Critical suppliers * 100,rc,2,higher_is_better,70.0,%,Supply Chain,Supplier recovery platform,quarterly,58.3,Supply chain resilience testing,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Recovery Process Documentation Currency,Percentage of recovery procedures updated within required timeframe,Current procedures / Total recovery procedures * 100,rc,2,higher_is_better,90.0,%,BCP,Document management system,quarterly,84.6,Recovery documentation maintenance,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Business Impact Analysis Accuracy,Percentage of BIA predictions that prove accurate during actual events,Accurate BIA predictions / Total validated BIAs * 100,rc,2,higher_is_better,80.0,%,BCP,BIA validation system,quarterly,73.9,Business impact prediction quality,,,,
Recovery Team Communication Effectiveness,Percentage of recovery team members reachable during emergency tests,Reachable team members / Total team members * 100,rc,2,higher_is_better,95.0,%,BCP,Emergency communication system,quarterly,91.2,Recovery team connectivity,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Customer Communication During Recovery,Percentage of customers notified within required timeframes during recovery,Timely customer notifications / Total customers * 100,rc,3,higher_is_better,85.0,%,Customer Service,Customer communication platform,quarterly,79.4,Customer recovery communication,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Recovery Resource Availability,Percentage of recovery resources available when needed during tests,Available resources / Required resources * 100,rc,3,higher_is_better,90.0,%,BCP,Resource management system,quarterly,83.7,Recovery resource readiness,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Technology Recovery Testing Coverage,Percentage of critical technologies with recovery testing,Tested technologies / Critical technologies * 100,rc,2,higher_is_better,85.0,%,IT Ops,Technology recovery platform,quarterly,77.8,Technology resilience validation,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Recovery Plan Activation Time,Average time to activate recovery plans after declaration,Sum of activation times / Number of activations,rc,2,lower_is_better,30.0,minutes,BCP,Recovery management system,quarterly,42.1,Recovery plan responsiveness,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Lessons Learned Implementation Rate,Percentage of recovery lessons learned implemented in updated plans,Implemented lessons / Total lessons learned * 100,rc,3,higher_is_better,80.0,%,BCP,Lessons learned system,quarterly,67.5,Continuous improvement adoption,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Recovery Exercise Participation Rate,Percentage of required personnel participating in recovery exercises,Exercise participants / Required participants * 100,rc,2,higher_is_better,90.0,%,BCP,Exercise management system,quarterly,84.9,Recovery exercise engagement,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Data Center Recovery Capability,Percentage of data center services with tested recovery capability,Services with recovery / Total DC services * 100,rc,2,higher_is_better,95.0,%,Data Center,DC recovery platform,quarterly,89.6,Data center resilience,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Recovery Cost Tracking Accuracy,Percentage of recovery costs accurately tracked and reported,Accurate cost tracking / Total recovery events * 100,rc,3,higher_is_better,75.0,%,BCP,Cost tracking system,quarterly,62.7,Financial recovery impact measurement,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Third-Party Recovery SLA Compliance,Percentage of recovery service providers meeting SLA requirements,Compliant providers / Total recovery providers * 100,rc,2,higher_is_better,95.0,%,Vendor Management,SLA monitoring system,monthly,89.3,Recovery service provider performance,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Recovery Capability Maturity Assessment,Overall maturity score of organizational recovery capabilities,Weighted average of recovery capability assessments,rc,2,higher_is_better,3.5,maturity level,BCP,Maturity assessment framework,quarterly,3.1,5-point recovery maturity scale,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Business Service Priority Recovery,Percentage of high-priority business services meeting recovery objectives,Priority services meeting objectives / Total priority services * 100,rc,1,higher_is_better,95.0,%,BCP,Service priority system,quarterly,88.4,Critical service recovery success,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Recovery Communication System Testing,Percentage of communication systems tested for recovery scenarios,Tested comm systems / Total comm systems * 100,rc,3,higher_is_better,85.0,%,Communications,Communication testing platform,quarterly,76.2,Emergency communication readiness,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
Regulatory Recovery Reporting Compliance,Percentage of recovery events properly reported to regulators,Compliant regulatory reports / Total reportable events * 100,rc,2,higher_is_better,100.0,%,Legal,Regulatory reporting system,quarterly,97.1,Recovery compliance reporting,RC.RP,RC.RP-01,Recovery Planning,"Recovery objectives and priorities are established based on applicable laws, regulations, or policies, and organizational risk tolerance"
